职位id,工作年限,学历,薪水,城市
5336327,3-5年,本科,15k-25k,成都
4623711,5-10年,本科,20k-40k,北京
5148203,3-5年,本科,15k-25k,深圳
5000300,3-5年,本科,18k-35k,武汉
5082558,5-10年,本科,20k-40k,北京
3120121,1-3年,本科,6k-12k,重庆
4864626,1-3年,本科,10k-20k,上海
4812119,3-5年,本科,15k-30k,北京
3815383,3-5年,本科,10k-20k,北京
4271445,1-3年,本科,10k-20k,深圳
5343014,1-3年,本科,8k-12k,重庆
5363965,3-5年,本科,13k-26k,北京
3629598,不限,本科,20k-30k,北京
4680072,3-5年,不限,18k-30k,上海
5062819,应届毕业生,本科,8k-16k,深圳
4002570,3-5年,本科,10k-20k,广州
5070350,5-10年,本科,20k-40k,上海
4775426,5-10年,本科,20k-35k,北京
5335388,3-5年,本科,7k-14k,广州
5262260,1-3年,本科,15k-20k,上海
4771621,3-5年,本科,20k-40k,北京
5153582,3-5年,本科,18k-30k,北京
5248037,1-3年,本科,10k-15k,杭州
4893661,3-5年,本科,15k-30k,上海
5339738,3-5年,本科,15k-25k,杭州
5296980,1-3年,本科,5k-10k,重庆
5043917,1-3年,本科,12k-20k,上海
5275394,不限,硕士,8k-15k,长沙
5183020,3-5年,不限,10k-20k,上海
5126889,3-5年,本科,15k-20k,南京
5374423,不限,本科,5k-10k,南京
4524501,5-10年,本科,25k-50k,上海
5016978,3-5年,本科,15k-25k,上海
4920891,3-5年,本科,20k-40k,杭州
2004460,3-5年,大专,12k-20k,上海
4662266,不限,本科,4k-8k,杭州
4702658,5-10年,本科,31k-50k,北京
1506549,1-3年,大专,4k-8k,石家庄
5221506,3-5年,本科,20k-40k,北京
4960568,3-5年,硕士,15k-30k,武汉
4949665,1-3年,本科,10k-20k,北京
4448656,1-3年,本科,9k-18k,北京
3462720,1-3年,本科,15k-30k,上海
3695753,1-3年,本科,8k-16k,苏州
5118154,3-5年,本科,15k-30k,上海
4271457,3-5年,本科,18k-35k,深圳
4654754,3-5年,本科,30k-60k,北京
2783360,3-5年,大专,12k-20k,上海
5310326,3-5年,本科,15k-30k,武汉
4253455,3-5年,本科,12k-24k,重庆
